id,title,genres,keywords,tagline,overview,cast,director,language
691,Ek Niranjan,Romance Action Drama,,,"A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",Prabhas Kangana Ranaut Sonu Sood Mukul Dev Venu Madhav,Puri Jagannadh,te
692,Devaki Nandana Vasudeva,Action Family Romance,,,"Haunted by an astrological prophecy, Kamsaraja relentlessly torments his sister's family, believing her child will be his doom. Even in imprisonment, Krishna protects the family from Kamsaraja's evil plans.",Ashok Galla Manasa Varanasi Devdatta Nage Devayani Jhansi,Arjun Jandyala,te
693,Love Story 1999,Romance Comedy Music Drama,romcom love power of love troubled relationship relationships,,"Krishna is a college student who is constantly rejecting girls who find him attractive. He eventuality falls in love with Meena, the daughter of a powerful woman. Vamsi, a television personality known as Love Boss, is called upon to assist Krishna with wooing Meena, while dealing with love troubles of his own.",Prabhu Deva Vadde Naveen Ramya Krishnan Laila Rambha,K Raghavendra Rao,te
694,Aame,,,,The film shows how male chauvinists can destroy a female's life.,Srikanth Sivaranjani Naresh Chandramohan Tanikella Bharani,E.V.V. Satyanarayana,te
695,Saleem,Action Comedy,romance revenge,,"Satyavati (Ileana) is the daughter of a rich and idealistic landlord/factionist in Rayalaseema. She is brought up in Europe for the past 15 years. She visits her home town after a long gap and she is attacked by the rival factionist. Munna (Vishnu Manchu) comes from nowhere and rescues her. Then he settles in her house as a worker and earns the love and trust of all Satyavati’s family members. He loves Satyavati. But Satyavati’s father wants to marry off to another guy. Just about when the marriage is going to happen, it is revealed that Satyavati has a lover (Venkat) from Europe and she uses Munna to help her escape to Europe. Just when Satyavati goes to Europe, it is revealed that Munna is none but a mafia kingpin from Bangkok called Saleem and Satyavati lover’s brother is none but a dreaded European don called OJo a.k.a. Ogiraja Jogayya (Mohan Babu). The rest of the story is all about how Saleem wins Satyavati over with his one-side love and his encounters with OJo.",Vishnu Manchu Ileana D'Cruz Mohan Babu Manel Soler Brahmanandam,Y. V. S. Chowdary,te
696,118,Action Thriller,,,"While staying in a resort, an investigative journalist has a dream where he sees a woman being beaten to death. When he has the same dream once again in the same room of the resort, he begins to believe there might be some truth to it. He starts investigating and eventually faces physical challenges from someone who doesn't want him to uncover the truth.",Kalyan Ram Nivetha Thomas Shalini Pandey Nassar Hari Teja,K. V. Guhan,te
697,Bhale Manchi Roju,Comedy Drama Crime,,,The story revolves around a guy whose got a defect in him and how he gets trapped in a crime which forces him to kidnap a girl in order save his beloved ones.,Sudheer Babu Wamiqa Gabbi Dhanya Balakrishna Chaitanya Krishna Sai Kumar,Sriram Adittya,te
698,Rowdy,Action Romance,,,Anna is a much revered Rowdy who is law onto himself. He opposes the construction of a dam that would displace villagers from 30 villages. His enemies plan to eliminate him by manipulating Anna's elder son. But they have to contend with the younger son Krishna.,Mohan Babu Vishnu Manchu Jayasudha Shanvi Shrivastava Kishore,Ram Gopal Varma,te
699,Garam,Action Romance,,,"Varala Babu (Aadi), who is poor at studies, would always face criticism from his father (Tanikella Bharani) and, he is jobless. He is asked to leave the house and challenges his father that he will prove to himself. He leaves for Hyderabad in search of a job, but he ends up falling in love with Sameera (Adah Sharma). In the process of wooing her, Varala Babu comes across Ravi (Chaitanya Krishna), a childhood rival of Babu in studies in a paralyzed and bedridden state in a hospital, and he saves Ravi from the baddies. Sameera is already facing an issue with Biju (Kabir Duhan Singh). Varala Babu is now left with a responsibility to save his friend and loved one from Biju.",Aadi Saikumar Adah Sharma Brahmanandam Madhunandan Tanikella Bharani,Madan,te
700,Andaru Bagundali Andulo Nenundali,Drama Family Comedy,,All is Well,"Srinivas Rao, a hearing and speech-impaired man travels back home on a Hyderabad Metro Train but falls asleep. Another passenger. Sameer, finds this amusing and decides to post a picture of Srinivas Rao Online, labeling him a drunkard.",Ali Basha Naresh Pavitra Lokesh Mouryani Pranavi Manukonda,Kiran Sripuram,te
701,A Aa E Ee,,,,"Chandram (Srikanth) is a cab driver and a honest man. His wife is Kalyani (Meera Jasmine). They are a childless couple. When Kalyani gets tested positive for pregnancy, the doc tells him that she needs to be operated to avoid complications. The operation would cost around 8 lacs. Being a middle class man, Chandram doesn't have that much money. That is when he comes across an accident on railway track where the body of an unidentified woman is found. He also finds a bag with lots of money beside the corpse. his friend advise him to tell the cops that the dead woman is his wife. He gets the postmortem done and manages the cops and doctor. He finds out that the dead girl is Ramya (Sada). Parents of Ramya come to know about it and ask chandram to do the final rites as they thought that he is her husband (she elopes from house with her boyfriend). The story takes turn when Ramya returns at the time of last rites.",Srikanth Meera Jasmine Sadha Brahmanandam Ali Basha,Srinivasa Reddy,te
702,Jwalaadweepa Rahasyam,Fantasy,swordplay prince wizard,,A young man sets out on a quest to free his parents who were imprisoned on a remote and secret island by a rogue immortal king guided by an evil wizard.,Kanta Rao Rajanala Kaleswara Rao,B. Vittalacharya,te
703,Katamarayudu,Action Family,mass hero,,"A violent man Rayudu tries to redeem himself to impress the love of his life, until he gets pushed into a situation that forces him to act.",Pawan Kalyan Shruti Haasan Rao Ramesh Ali Basha Ajay,Kishore Kumar Pardasani,te
704,The Ghost,Action Drama Thriller,,,"An ex-Interpol officer wreaks havoc and sends shock waves across the global underworld but goes missing in action, only to remerge years later, for his beloved family.",Nagarjuna Akkineni Sonal Chauhan Gul Panag Anikha Surendran Ravi Varma,Praveen Sattaru,te
705,Peddi,Drama Action,sports politics,,"In 1980s rural Andhra Pradesh, A spirited villager unites his community through sports to defend their pride against a powerful rival.",Ram Charan Janhvi Kapoor Shivaraj Kumar Jagapati Babu Divyendu Sharma,Buchi Babu Sana,te
706,Meda Meeda Abbayi,Comedy Drama Romance,,,"The official remake of Malayalam movie Oru Vadakkan Selfie, Meda Meeda Abbayi tells the story of a carefree guy and the various problems that he faces after secretly taking a selfie with his neighbor.",Allari Naresh Nikhila Vimal Srinivas Avasarala Hyper Adhi Satyam Rajesh,G. Prajith,te
707,Kalyana Vaibhogame,Comedy Drama,woman director,One Life One Celebration,"In spite of their disinterest, Shourya and Divya are both pressured to get married. When they realize they have the same problem, they hatch a plan to appease their parents.",Naga Shaurya Malavika Nair Raasi Pearle Maaney Dhanraj Sukhram,B. V. Nandini Reddy,te
708,Godavari,Drama Romance,,,"Sreeram, an idealist, fails to marry the love of his life due to her engagement to an IPS officer. To get over this, he boards a cruise on the Godavari river and soon meets a young woman named Seetha.",Sumanth Kamalinee Mukherjee Neetu Chandra C. V. L. Narasimha Rao Madhumani,Sekhar Kammula,te
709,Tuk Tuk,Drama Comedy Mystery,,,Three teen boys discover a mystical auto-rickshaw that transforms into their village's centerpiece and unexpected hero.,Nihal Kodhaty Saanve Meghana Harsh Roshan Karthikeya Dev Steven Madhu,Supreeth C Krishna,te
710,Gangmaster,,,,Gangmaster is a 1994 Telugu film directed by B. Gopal. It has music composed by A. R. Rahman. It was dubbed into Tamil with the title Manitha Manitha. The film was a remake of Hindi film Sir.,Dr. Rajasekhar Vani Viswanath Krishnam Raju Nagma Brahmanandam,B. Gopal,te
711,Nuvve... Nuvve...,Family Drama Romance Comedy,,,"Vishwanath is a millionaire who loves his daughter Anjali obsessively. When Vishwanath discovers that Anjali is in love with Rishi, a happy-go-lucky man from a middle class family, he tries his best to separate them.",Tarun Shriya Saran Prakash Raj Chandramohan Sunil Varma,Trivikram Srinivas,te
712,Rowdy Fellow,Action Drama,,,"An egoistic wealthy man becomes a cop to settle a score, but gets into a feud with a local politician.",Nara Rohith Vishakha Singh Rao Ramesh Venkateswara Rao Paruchuri Posani Krishna Murali,Chaitanya Krishna,te
713,Akka! Bagunnava?,Drama,,,,Vikram Jayasudha Anand Ravali Subhashri,Mouli,te
714,Neevevaro,Thriller Romance,murder blind cruel intentions,Love is blind not the lover,"As Kalyan, a blind chef and Vennela, who comes visiting him at his restaurant, fall in love and start making plans for their future, Vennela goes missing. Series of unexpected and shocking events follow.",Aadhi Pinisetty Taapsee Pannu Ritika Singh Vennela Kishore Saptagiri,Hari Nath,te
715,PORTRAIT.,,depression mental breakdown suicidal self expression anxiety attack anxiety disorder anxiety,NA,"A portrait of man dealing with himself on a rainy day. Part realistic, part expressionist.",Y. Nithin,Y. Nithin,te
716,Hyderabad Blues,Drama Romance Comedy,india culture shock,The Homecoming,Varun returns homes after twelve years in the United States and attempts to romance an Indian doctor.,Nagesh Kukunoor Rajshri Nair Vikram Inamdar Elahe Hiptoola Anoop Rao,Nagesh Kukunoor,te
717,Chinnadana Nee Kosam,Drama Romance,,,"Nithin falls in love with Nandini and tries to woo her while their friendship blooms. However, Nandini leaves for a Europe trip with Reddy Garu without informing him which causes him to tail them.",Nithiin Mishti Chakravarty Nassar Naresh Sithara,A. Karunakaran,te
