id,title,genres,keywords,tagline,overview,cast,director,language
1678,Sampoorna Premayanam,Drama,,,"Venu, a bus conductor, loses his job after his manager comes to know that he loves the owner's daughter, Prema. However, he is blackmailed by Gopala Rao into conning Prema for revenge.",Sobhan Babu Jaya Prada Rao Gopal Rao Kaikala Satyanarayana,N. B. Chakravarthy,te
1679,Anna Chellelu,Drama,,,"When Raju falls in love with his rich friend Ravi's sister, Seetha, Ravi puts forth a condition before agreeing to their marriage. Will Raju change his mind?",Soundarya Ramesh Babu Ghattamaneni Aamani Brahmanandam,P. Chandrasekhara Reddy,te
1680,Chittemma Mogudu,,,,"The young village girl Chitti (Divya Bharti) is a bubbly and fun-loving childwoman. She's enjoying life with her young group of friends consisting of three younger boys. One day, while playing one of her pranks, an old man curses her. On top of that, she witnesses a pregnant woman falling at night and suffering immense pain before ultimately dying. This incident causes Chitti's fear of pregnancy. However, the young man Mohan Babu visits the village and befriends Chitti. Soon after that, her parents arrange the marriage between Chitti and Mohan Babu. Both are more than happy with this arrangement. After the wedding, however, Chitti doesn't want to consummate the marriage out of fear of pregnancy. Mohan Babu is unhappy about it and soon gets attracted to a young doctor (Pooja Bedi). Dreaming of spending nights with her, Mohan Babu gets drunk and soon after goes home and rapes Chittui.",Mohan Babu Pooja Bedi Divya Bharti,A. Kodandarami Reddy,te
1681,Nyayam Kavali,Drama Romance,,,"Bharathi's parents refuse to accept her after discovering that she is pregnant with Suresh's child, the man who cheated her.",Radikaa Sarathkumar Chiranjeevi Sharada Kongara Jaggayya Allu Ramalingaiah,A. Kodandarami Reddy,te
1682,Chinarayudu,Drama,,,"Chinarayudu is a 1992 Telugu film directed by B. Gopal. The film stars Venkatesh, Vijayashanti, Kota Srinivasan Rao and Nirmalamma in lead roles.",Venkatesh Vijayashanti Kota Srinivasa Rao Nirmalamma Babu Mohan,B. Gopal,te
1683,Vaisakham,Family Drama Romance,,,"Venu lives in an apartment and he does not give respect to the elders.  One day he meets Bhanu who is a beautician. She always gives importance to family values. She has a fixed opinion on things, and yet she is slightly shy. As expected,  both Venu and Bhanu initially indulge in fights initially and slowly he falls for Bhanu but when he proposes Bhanu, she turns down Venu’s proposal.  What will happen now? What about Venu’s family?",Harish Verma Avantika Mishra Prudhviraj Sai Kumar Y. Kasi Viswanath,Jaya B,te
1684,Bava Bava Panneeru,,,,"Kota Srinivasa Rao is a wealthy man, with poor relatives waiting for him to die so that they can get their hands on his money. Kota wants to get married so that he can leave his health to an heir. However his relatives hamper all his efforts to get married. He decides to evade them by leaving his home and moving to another place. He also adopts a young girl Chandraprabha (Rupa Kala), with the intention of marrying her when she grows up. He installs her in a home with 2 servants as caretakers. Ramesh (Naresh) is under pressure from his parents pressurizing him to marry girls from their respective families. Tired of their matchmaking he moves to the town where the heroine stays. Kota tells heroine that she will be married without telling her that he would be the groom. He tells heroine that the man who comes to her house on a specific day will be her husband, and Ramesh comes there by mistake. They both fall for each other. Kota is Ramesh's father's friend - and Ramesh tells him about",Naresh Rupa Kala Kota Srinivasa Rao Brahmanandam Dharmavarupu Subramanyam,Jandhyala Subramanya Sastry,te
1685,Malli Modalaindi,Family Comedy Romance,,Life After Divorce,"After their divorce, Vikram starts dating Nisha’s divorce lawyer, Pavithra. But can Vikram handle the situation when his newfound casual love turns serious?",Sumanth Naina Ganguly Suhasini Maniratnam Varshini Sounderajan Pavani Reddy,T. G. Keerthi Kumar,te
1686,Annadammula Anubandham,Family,,,"Annadammula Anubandham (transl. Sibling's Relationship) is 1975 Indian Telugu-language action drama film, produced by the makeup artist M. Peethambaram and directed by S. D. Lal.",N.T. Rama Rao Murali Mohan Nandamuri Balakrishna Latha Sethupathi Kanchana,S D Lal,te
1687,Sri Krishna Pandaveeyam,Drama Music,krishna mahabharat,,"The film depicts the adolescent age of the Pandavas and Krishna and shows the events in the Mahabharata, focusing on the later chapters of Adi Parva and the first half of Sabha Parva.",N.T. Rama Rao K R Vijaya S. Varalakshmi Rajanala Kaleswara Rao Kanta Rao,N.T. Rama Rao,te
1688,Swagatam,Action Drama,,,"Shailu (Anushka Shettyl) is a harried, ill-tempered businesswoman living in the United States, trying to care for her mother and young nephew and manage her bills. KK (Jagapati Babu), who with his young daughter opens a shop across the street from hers, helps her find a new perspective on her life. Shailu falls in love with KK, but when she declares her feelings for him learns that he already has a wife, Vidya (Bhumika Chawla). In flashback, the film relates the romance of KK and Vidya. In the past, KK was himself an abrasive businessman when he sought a mate at Jalaja Rao Marriage Bureau. Instead, he winds up courting and marrying Vidya, an employee. KK's dilemma is simplified by the fact that one of the women in his life is dying from chronic leukemia.",Jagapati Babu Anushka Shetty Arjun Sarja Bhumika Chawla Annie,Dasaradh,te
1689,Athili Sathibabu LKG,Comedy,,LKG,Athili Sathibabu (Allari Naresh) is stingy guy &amp; a ruthless money lender charging high rate of interest at Rs.10 at every 100 on a daily interest rate. He gives preferences to money over relations &amp; love. He goes to extent of buying his brothers share of ancestral property &amp; then drive them away. He falls in love with beautician (Kausha) by ignoring a village belle (Vidisha) who falls head over heel for him. The rest of the story is all about how he realizes the importance of love &amp; relationships.,Allari Naresh Kausha Rach Vidisha Srivastava Brahmanandam Sunil Varma,E.V.V. Satyanarayana,te
1690,Gaayam 2,Action Drama Crime,,History is Back,Ram (Jagapathi Babu) is a restaurant owner in Bangkok. Ram leads a life happily with his wife Vidya (Vimala Raman) and adopted son Chaitanya (Pavansriram). One day he rescues a woman at his restaurant from a group of molesters and pays a heavy price.,Jagapati Babu Vimala Raman Tanikella Bharani Kota Srinivasa Rao Ajay,Praveen Sri,te
1691,Karma,Thriller Drama Mystery,,Do You Believe?,"Orphaned and haunted by her father's murder, Padma grapples with shattered faith. Enter Dev, a mysterious stranger that challenge her beliefs. As a sinister cult weaves its web, Padma must confront the darkness within and unravel Dev's true identity to save not only herself but the world.",Adivi Sesh Jade Tailor Sher Ali Ramakrishna Baby Ria,Adivi Sesh,te
1692,Chaavu Kaburu Challaga,Romance Action,,,"Basthi Balaraju falls for a young widow called Mallika even as he transports her husband’s body to the grave. With everyone telling him he’s wrong to woo her, how does he manage to win her over?",Kartikeya Gummakonda Lavanya Tripathi Murali Sharma Aamani Rajitha,Koushik Pegallapati,te
1693,Mayagadu,Action Romance,,,"A man involved in film piracy, who leaks Telugu movies online, ends up falling in love with a film producer's daughter, which leads to a twist in his life.",Naveen Chandra Pooja Jhaveri Gayathri Suresh Abhimanyu Singh Kabir Duhan Singh,Karthik Reddy,te
1694,Illale Devatha,Family Drama,family tragedy,Wife is a Goddess,"Illale Devatha (transl. Wife is a Goddess) is a 1985 Telugu-language drama film, produced by N. R. Anuradha Devi under the Lakshmi Films Combines banner and directed by Tatineni Prasad. It stars Akkineni Nageswara Rao, Raadhika, Bhanupriya and music composed by Chakravarthy. The film is a remake of Singeetam Srinivasa Rao's debut Kannada film Haalu Jenu (1982).",Nageshwara Rao Akkineni Radikaa Sarathkumar Bhanupriya Kongara Jaggayya Gollapudi Maruti Rao,Thatineni Prasad,te
1695,Bobbili Puli,Action Drama,,,The story of a war-hero who returns to his place only to find the society in a mess and tries to repair it in his own way and ends up getting hanged.,N.T. Rama Rao Sridevi Rao Gopal Rao Kaikala Satyanarayana Murali Mohan,Dasari Narayana Rao,te
1696,Juvva,Action,,,"Basavaraju is an arrogant rich kid who desperately lusts over his schoolmate Shruthi(Palak Lalwani). In that process, he kills the school principal and gets sentenced to jail for 14 years. Upset with this, Shruthi’s parents change her identity and shift her to Hyderabad. There, she gets close to Rana (Ranjith Somi), who is an easy going guy.  When everything seems to be going well in their life, Basavaraju comes out of the Jail and starts looking for Shruthi. Will Basavaraju find Shruthi’s whereabouts? What will Rana do to save his girl’s life?",Palak Lalwani,Trikoti,te
1697,Idi Katha Kaadu,,,,The heroine separates from her husband and lives as a single working mother. Enter into the life of the heroine two men who want to marry her.,Jayasudha Chiranjeevi Kamal Haasan Sarath Babu J.V. Ramana Murthi,K. Balachander,te
1698,Goppinti Alludu,Family Comedy,,,"Goppinti Alludu is a family based movie in which, Murali Manohar(Balakrishna) is son of the industrialist SVR(SPB). He arrives India from Switzerland after finishing his graduation. SVR fixes a girl for him and asks him to marry her. To get rid of unwanted marriage, Maohar escapes back to Switzerland. Sowmya(Simran) is the grand daughter of Achyuta Ramayya(Satyanarayana). Achyuta Ramayya",Nandamuri Balakrishna Simran Sanghavi S. P. Balasubramaniam Kota Srinivasa Rao,E.V.V. Satyanarayana,te
1699,Alladin and the Wonderful Lamp,Fantasy Drama Adventure,,,"Alladin throws away a magic lamp after an evil magician fools him into finding it. Years later, when Alladin learns the full extent of its powers, he decides to find and use it.",Nageshwara Rao Akkineni Anjali Devi S. V. Ranga Rao T. S. Balaiah Relangi Venkata Ramaiah,T. R. Raghunath,te
1700,O Pitta Katha,Romance Thriller,,It's A Long Story,Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,Nitya Shetty Viswant Duddumpudi Brahmaji Sanjay Rao Shiva Karthik,Chandu Muddu,te
1701,Hrudaya Kaleyam,Comedy,hrudaya kaleyam,A Kidney with a heart,"Hrudaya Kaleyam is a 2014 Telugu action film directed by Steven Shankar on Amrutha productions and VSS Creations banners jointly which stars debutantes Sampoornesh Babu, Kavya Kumar and Ishika Singh in the lead roles. R.K. composed the music while Russel Carpenter Jr. handled the cinematography. The film revolves around Sampoornesh, a petty thief who robs parts in electronic shops and why he robs electronic shops and departmental stores. Movie was released in 155 centres including Bengaluru.The movie was considered a hit at Box Office. Since the budget was very low, this movie is considered to be one of the highest grossing low budget movies.",Sampoornesh Babu Kavya Kumar Ishika Singh Kathi Mahesh,Sai Rajesh Neelam,te
1702,Chandirani,Adventure Drama,,,"When Prachandudu kills Chandirani's mother and imprisons her father who is a king, she decides to eliminate him to avenge her mother's death and to save the people of the kingdom too.",Bhanumathi N.T. Rama Rao S. V. Ranga Rao C S R Anjaneyulu Relangi Venkata Ramaiah,Bhanumathi,te
1703,Mem Famous,Comedy Romance,,,"After a shattering event that leaves three reckless lazing youngster friends with no hope and mounting debts, the trio must finally pull up their socks and do something worthwhile despite their incompetence.",Sumanth Prabhas Mani Aegurla Mourya Chowdary Siri Raasi Saarya,Sumanth Prabhas,te
1704,Maa Voori Magadu,,,,,Krishna Sridevi Kaikala Satyanarayana Gollapudi Maruti Rao Suthi Veerabhadra Rao,K. Bapaiah,te
1705,Rajendrudu Gajendrudu,,,,"Rajendra wins a lottery and the prize is an elephant. Despite being poor, he chooses to keep the animal. What follows is a unique bond of love between a man and an animal.",Rajendra Prasad Soundarya Brahmanandam Kota Srinivasa Rao Babu Mohan,S.V. Krishna Reddy,te
1706,Sambarala Yetti Gattu,Action Fantasy,,,"In a land ruled by a ruthless tyrant, a young man embarks on a dangerous quest to dismantle the warlords empire and free his people from oppression.",Sai Durgha Tej Jagapati Babu Sai Kumar Srikanth,Rohith KP,te
1707,Antharatma (The Inner Soul),Comedy Drama,interview mockumentary dual role,The Inner Soul,A mockumentary between a person and his inner soul,Hemanth Kumar Chittamsetty Hemanth Kumar Chittamsetty,Hemanth Kumar Chittamsetty,te
1708,Vayyari Bhamalu Vagalamari Bhartalu,Comedy Drama,,,Ramalingam and Somalingam envy two happily married couples and attempt to create differences and enmity among them to disrupt their family life.,N.T. Rama Rao Krishna Sridevi Radikaa Sarathkumar Rao Gopal Rao,Katta Subba Rao,te
1709,Palnati Brahmanayudu,Action,,,"Palnati Brahmanayudu  is an Action based movie. In which,  Bhavani Prasad (Bala Krishna) lives in Karampudi. Sruthi, a girl who is going to get engaged to an NRI (Pruthvi), falls in love with Bhavani Prasad. When their marriage is about to happen, a lady called Siva Nageswari (Sonali Bendre) enter the premises of hall and shoots at Bhavani Prasad.The rest of the story is all about why Siva Nageswari shoots Bhavani Prasad and Why?",Nandamuri Balakrishna Sonali Bendre Aarthi Agarwal Mukesh Rishi Kaikala Satyanarayana,B. Gopal,te
1710,Eureka,Action Drama Thriller,,,Yuva wants to complete his college course sooner and when he tries to put an end to the college festival lead by Revanth his life gets tossed when the latter ends up dead under mysterious circumstances.,Dimple Hayathi Shalini Vadnikatti Brahmaji Mahesh Vitta Raghu Babu,Karteek Anand,te
1711,Pelli Pustakam,,,,"Newly married couple Krishnamurthy and Satyabhama pretend to be unmarried while working at the same company, leading to complicated situations and threatening their marriage.",Rajendra Prasad Divyavani Sindhuja Gummadi Subhalekha Sudhakar,Bapu,te
1712,Krishna Rao Supermarket,Thriller,,,"Krishna Rao Supermarket is a Telugu movie starring Kriishna and Elsa Ghosh in prominent roles. It is a drama directed by Sreenath Pulakuram, with Bhole Shavali as the musician, forming part of the crew.",Tanikella Bharani Elsa Ghosh Gautam Raju,Sreenath Pulakuram,te
1713,Chattam Tho Poratam,Drama,,,"Chattam Tho Poratam is action crime based movie in which, Ravi (Chiranjeevi), who is the son of a struggling middle class farmer Dharmarao. He loves his cousin kalyani very much, but his another cousin Bujji is also after her.Bujji tries every possible method to marry kalyani. Bujji",Chiranjeevi Madhavi Sumalatha Kaikala Satyanarayana Rao Gopal Rao,K. Bapaiah,te
1714,Nenevaru,Romance Thriller,,,"Krish and Chitra are in love. After Chitra goes missing, Krish starts killing people. But one day Akshara befriends him and get to know more about his life. What will happen when Akshara is revealed to be an undercover cop?",Balakrishna Kola Sakshi Chaudhary Prabhakar Tanishq Rajan Geeth Shah,Nirnay Palanti,te
1715,Jil,Action,,,"Jai (Gopichand) is a fire officer. He happens to help a stranger Ranganath (Brahmaji), who is the right man of Mumbai don Chota Naik (Kabir Duhan Singh). Ranganath turns informer and runs away with the Chota Naik""s money. Chota Nayak suspects Jai to be an accomplice of Ranganath and starts troubling him. The rest of the story is all about how Jai teaches a lesson to Chota Nayak for messing up with him.",Gopichand Raashii Khanna Kabir Duhan Singh Posani Krishna Murali Chalapathi Rao,Radha Krishna Kumar,te
1716,Chakravarthy,Drama,,,,Chiranjeevi Mohan Babu Bhanupriya Ramya Krishnan Somayajulu J V,Ravi Raja Pinisetty,te
1717,S.I.T Special Investigation Team,Crime Thriller Mystery,,,"ACP Partha Saradhi investigates the murder of a billionaire's wife, Navya and arrests her husband, Rahul. Soon, the case takes a turn when secrets about Navya's past and family are revealed.",Arvind Krishna Natasha Doshi Rajath Raghav Anil Rathod Kaushik Mekala,Vijaya Bhaskar Reddy,te
1718,Sontha ooru,Drama,,,Sontha Ooru is a film about rural life and how the innocent villagers are continuously exploited by the development plans of the government. The film portrays the Special economic zone victims and its impact on normal life.,Raja L. B. Sriram Tirrtha Murbaadkar Jeeva Vijayachander,Sunil Kumar Reddy,te
1719,Manoharam,Action Thriller,,,"The film begins with the ISI moles scheming to destabilize India, followed by bomb blasts in Coimbatore and Hyderabad. Basha, an ISI agent, enters India to plant bombs at various places. Anand is a regular bank employee and through a case of mistaken identity by police, he exposes the nefarious ISI network. Anand is tried and sentenced to 14 years imprisonment. Anand's wife Usha tries to prove her husband's innocence with the help of CBI officer Srinivasa Murthy.",Jagapati Babu Prakash Raj Laya Mukesh Rishi L. B. Sriram,Gunasekhar,te
1720,Bhamakalapam 2,Thriller Crime Comedy,,A delicious heist feast,"A wealthy hotelier disrupts Anupama's life. In retaliation, she puts together an imperfectly perfect team to pull off an elaborate heist at his luxurious hotel during a culinary competition.",Priyamani Saranya Pradeep Seerat Kapoor Sundip Ved Pradeep Rudra,Abhimanyu Tadimeti,te
1721,Savitri W/O Satyamurthy,Comedy Family,never aging,,"Satyamurthy is a young man who doesn't age, lives with his old-aged wife Savitri and three sons. His elder son is mighty embarrassed about his father's never-growing age.",Parvateesam Srilakshmi Suman Shetty Ananth Babu Gautam Raju,Chaithanya Konda,te
1722,Kali,Thriller,,,"Kali is a Telugu movie starring Prince Cecil, Naresh Agastya and Neha Krishnan in prominent roles. It is directed by Siva Sashu.",Prince Cecil,,te
1723,Ganesh,Action,,,"Ganesh, a journalist, loses his father and sister due to the negligence of the health department and decides to fight against the corruption prevalent in the medical industry.",Venkatesh Kota Srinivasa Rao Madhoo Keerthana Chandramohan,Tirupathi Swamy,te
1724,Kathanam,,,,Anu is a filmmaker looking for that big break in the film industry. But what happens when she realises that everyone from the script she has written keeps dying?,Anasuya Bharadwaj Srinivas Avasarala Vennela Kishore Dhanraj Sukhram Randhir Gatla,Rajesh Nadendla,te
1725,Sati Sulochana (Indrajeet),Drama History,,,"Indrajeet (Sati Sulochana) is a 1961 Telugu-language Hindu Epic film, based on the life of Indrajit from the epic Ramayana. It tells the story of the life and death of Ravan's son, great warrior Meghanadhudu.",N.T. Rama Rao S. V. Ranga Rao Anjali Devi Kanta Rao Rajasree,S. Rajinikanth,te
1726,Kirathaka,Crime Thriller,,,,Aadi Saikumar Payal Rajput Poorna Dev Gill Dasari Arun Kumar,Veerabhadram,te
1727,Kshatriya,Action Thriller,,,"London-born Madhu (Kunkum) comes to India to settle down here. With the help of her relatives, she manages to uprise her house. Dawood (Jaya Prakash Reddy) appoints Srikanth to follow Madhu. Meanwhile, her grandfather (Kota Srinivas Rao) plans to kill Madhu by kshudra Pooja. Due to which Madhu faces hard time in her home. As she doesn’t believe in these kind of incidents, she meets up with a psychiatrist (Rao Ramesh) where she finds out some interesting facts about the incidents happening around her. Will Srikanth help her? Who is Dawood? Why did Madhu’s Grandfather plan to kill her forms the rest of the storyline.",Srikanth Kumkum Kota Srinivasa Rao Jayaprakash Reddy Rao Ramesh,K. Uday Chandu,te
1728,Spark,Thriller,,,"Jay's love for Ananya leads to a deadly chain of events while Lekha's dreams collide with a stranger named Arya. As suicide killings grip the nation, a sinister force entwines their lives.",Vikranth Reddy Mehreen Pirzada Rukshar Dhillon Suhasini Maniratnam Guru Somasundaram,Vikranth Reddy,te
1729,Swapna Sundari,,,,,Nageshwara Rao Akkineni Anjali Devi,Ghantasala Balaramaiah,te
1730,Operation Duryodhana,,,,Mahesh (Srikanth) is a sincere and honest police officer. He loses his kids and his wife gets paralyzed as few politicians who don’t like his sincerity harm his family. Mahesh changes his appearance and name to join the gang to politicians to become one. The rest of the story is all about how he makes people realize that there is some fault in the system.,Srikanth Kaveri Mumaith Khan Posani Krishna Murali Gehana Vasisth,Posani Krishna Murali,te
1731,Vidyarthi,Action Drama,,,"Chaitanya joins late in an agricultural college where upper caste domination rules are valued. Bhoopathi, Maha Lakshmi’s father, is the head of that area. What will happen when Bhoopathi’s rival Satyam attacks him and his daughter ?",Chethan Cheenu Bunny Vox Raghu Babu Jwala Koti Mani Chandana,Madhu Madasu,te
1732,Amma Deevena,,,,"The protagonist Lakshmamma (Aamani) is a villager. She is married to an irresponsible man, who indulges in drinking and lives life at his will. The couple has five children together. Lakshmamma's husband (Posani Krishnamurali) doesn't help her raise the children. A single lady like her takes the responsibility of the home and starts earning. She works as a daily wage laborer in a quarry, as a worker at a flour mill, and starts supporting the family. The family gets into deep financial stress as the head of the family doesn't provide for them. She still manages to pull the family together with her earnings.",Sri Pallavi Aamani Kavya Satya Prakash Posani Krishna Murali,Siva Eturi,te
1733,Nireekshana,Thriller Crime,,,"Ashok , a reliable high class pimp, sends his girl to Daniel on a fateful night, ignorant of the fact that the girl would be brutally murdered. Gowtham, a Small Resto owner meets Meena on the roadside, who was looking for a lift and she proposes to him in her first meeting.",Sai Ronak Ena Saha Jithan Ramesh Shraddha Das Brahmaji,Vamsee Krishna Malla,te
1734,O Seeta Katha,,,,"Seeta (Roja Ramani), a teenage girl, lives with her mother and elder sister (Subha), who runs the house with her harikatha performances. Seeta falls in love with Chandram (Chandramohan), but Gopalakrishna (Devadas Kanakala) has an eye on her and hires goons to bash Chandram...",Kanta Rao Chandra Mohan Roja Ramani Devadasu Kanakala Allu Ramalingaiah,K. Viswanath,te
1735,Commitment,,,,,Tejaswi Madivada Anveshi Jain Ramya Pasupuleti Simar Singh Tanishq Rajan,Lakshmikanth Chenna,te
1736,Ammayi Bagundi,,,,"Siva (Sivaji) is a modern guy who falls in love with a beautiful girl he saw at a bus stop but at the same time he goes to see a girl chosen by his parents for him. Luckily he finds the same girl he saw on the road as the bride-to-be. He happily agrees for the wedding. He immedialtely accepts to marry her. When he moves to settle in true marital bliss, the girl he had fallen in love moves near his house. He realizes that there exist two girls with the same face. Moreover he comes to know that tastes of his wife are exactly opposite to that of the girl he imagined and had fallen in love at first sight.",Sivaji Sontineni Meera Jasmine Hema Sana Bhavana,Balasekaran,te
1737,Kanche,Romance History Drama,,,A love story played out against the backdrop of World War II.,Varun Tej Pragya Jaiswal Nikitin Dheer Srinivas Avasarala Gollapudi Maruti Rao,Radha Krishna Jagarlamudi,te
1738,Kalusukovalani,,,,"On his trip to Switzerland, Ravi, a talented youngster falls in love with Anjali. However, the two lose touch when Anjali returns to India. Still pining for Anjali, Ravi sets out to find her.",Gajala Uday Kiran Kaikala Satyanarayana Giri Babu,,te
1739,Family Drama,Drama Thriller Crime,,,Rama and Lakshman want to take back control of their lives from their abusive father. What follows is a series of events that no one foresees.,Suhas Teja Kasarapu Shruthi Meher Sanjay Ratha Pooja Kiran,Meher Tej,te
1740,Eduruleni Manishi,Comedy Drama,,,"Surya Murthy lives a very wealthy lifestyle in India along with his parents, his niece, and a younger look-alike brother, Satya. His parents would like him to get married, but he refuses until Satya, who himself is anxious to get married to his girlfriend, selects a bride named Vasundhara. Events prove that Vasundhara is indeed the ideal bride for Surya, and both get married",Nagarjuna Akkineni Soundarya Kota Srinivasa Rao Ranganath Nassar,J. Sreeniwas Rao,te
1741,Calling Sahasra,Thriller Crime Horror,,,Cyber expert Ajay joins new job but past tragedy motivates avenging crimes on women using RESQ app anonymously. Mass calls draw him into murder case amidst rescuing women.,Sudigali Sudheer Siva Balaji Dollysha Spandana Palli Manali Rathod,Arun Vikkirala,te
1742,Muddula Mogudu,,,,"Durga, daughter of a millionaire, marries Prasad, a writer she is a fan of. However, financial troubles drive the couple apart. Will they reunite?",Sridevi Nageshwara Rao Akkineni Kaikala Satyanarayana Sarath Babu Dhulipala,K. S. Prakash Rao,te
1743,Pranam,,,,"Film starring M.S. Narayana, Allari Naresh and Rallapalli",Allari Naresh Sadha Seetha Banerjee Shafi,Malli,te
1744,Jhummandi Naadam,Romance Family Drama,,,"Balu loves music very much. He wants to become a famous musician. He left his village and came to Hyderabad to fulfill his dream. He rented a house across the house of Venkata Chalapathi's (Mohan Babu) house. Venkata doesn't approve the way of living of the new generation. So when his friend's daughter Sravya and Balu fell for each other, he became complete against of their love. Now the lovers have to overcome the obstacles of Venkata for the sake of their love.",Manchu Manoj Taapsee Pannu Mohan Babu Suman Talwar Brahmanandam,K Raghavendra Rao,te
1745,Avunanna Kadanna,Romance Drama,,,"To get his land from an evil landlord, Ravi impresses him with his antics. He also falls in love with Aravinda, who incidentally happens to be the landlord's granddaughter.",Uday Kiran Sadha Dharmavarupu Subramanyam Suman Shetty Rallapalli Narasimha,Teja,te
1746,Vasool Raja,Drama,,,"Vasool Raja is a romantic action entertainer with lot of comic moments. Navdeep's acting is the main attraction in the film. Chinni Charan's music, Karthikeya's screenplay, Satyam Rahesh's comedy are its other highlights. Age-old story, slow-paced narration and some illogical scenes are its biggest drawbacks.",Navdeep Ritu Bharmecha,KarthiKkeya,te
1747,Baapu - A Father's Story,,,,"Mallanna's father decides to trade his life to secure relief funds for the family, but forgets. Funding for his final days, how will they make the ends meet?",,,te
1748,Ori Devuda..!,Comedy Romance,,,"Two childhood friends, Anu and Arjun, decide to get married. However, their marital life becomes complicated due to misunderstandings and miscommunication which leads to a divorce.",Vishwak Sen Mithila Palkar Venkatesh Asha Bhat Rahul Ramakrishna,Ashwath Marimuthu,te
1749,3E,Crime Drama Thriller,telugu,If Crime can find a way then Justice way is to find it.,"Following the closing arguments in a murder trial, case is about to be closed as a guilty verdict with a unanimous decision. But a Jr. Lawyer casts considerable doubt on elements of the case which shall derail the total conflict threatening to question the delicate law system which will decide one girl's fate.",Tribuvan Reddy Lavanya Sherya Rajmohan Rahul Nikil Thatiparthy,Vishwanath Batchu,te
1750,Manavoori Pandavulu,,,,5 youngsters come together with help of Krishnamraju to oppose their village sarpanch's cruel deeds.,Krishnam Raju Rao Gopal Rao Murali Mohan Prasad Babu Chiranjeevi,Bapu,te
1751,Anjani Putrudu,,,,"As a gift from Rama to Hanuman, two blessed children are born to save humanity. An evil sadhu wants to sacrifice them to gain power, and sends out his minion to look for their special birthmarks. At the same time, two corrupted relatives moves into their household. At this dangerous time, Hanuman appears in the guise of a child to protect them.",Apoorva Ramya Krishnan Nagendra Babu Prema M. S. Narayana,K. Chandrasekhar,te
1752,Maatho Pettukoku,Action Drama Romance,,,"A bold police officer, with the help of his twin brother, fights against law breakers.",Nandamuri Balakrishna Roja Selvamani Rambha Captain Raju Raghuvaran,A. Kodandarami Reddy,te
1753,Hit 4,,,,,,Sailesh Kolanu,te
1754,Yellemma,,,,TBA,Nithiin Keerthy Suresh,Venu,te
1755,Ali Baba 40 Dongalu,,,,"Alibaba 40 dongalu (1970) is a Telugu film based on Ali Baba, starring N T Rama Rao and Jayalalitha. The film is a remake of 1956 Tamil film Alibabavum 40 Thirudargalum which inturn is based on Ali Baba and the Forty Thieves.",N.T. Rama Rao Jayalalithaa J Kaikala Satyanarayana Nagabhushanam Mikkilineni,B. Vittalacharya,te
1756,Yuvatha,Comedy Drama,,,"Yuvatha is a 2008 Telugu film directed by Parasuram starring Nikhil Siddharth and Aksha Pardasany in the Lead. It was released on 7 November 2008 to Rave Reviews and was declared a Super Hit at the Box Office.  Babu (Nikhil Siddharth), an orphan brought up by his uncle and aunt believes that they swindled his property. Once when his uncle chides him, he leaves home for Hyderabad to stay with his friends, whom he trusts. Kind-hearted as he is, Babu believes that life is to be happy and make others happy. Babu meets Baby (Aksha Pardasany) accidentally and they become good friends. Whenever she is lonely, Babu along with his three friends, a software engineer, a security guard and an assistant film director cheer her up. Once during her birthday, some goons tease Baby and Babu thrashes them. Later they settle scores with Babu, but his friend, the assistant director, suffers grievous injuries.",Nikhil Siddhartha Aksha Pardasany Sayaji Shinde Jeeva Narsing Yadav,Parasuram Petla,te
1757,Gully Rowdy,Comedy Action,,,A small-time rowdy wants to make it big and fulfil his grandfather’s wish by helping out a professional rowdy with a land issue. A cop takes up a murder case and is on the look-out for the accused.,Sundeep Kishan Neha Shetty Bobby Simha Rajendra Prasad Posani Krishna Murali,G. Nageswara Reddy,te
1758,Maa Alludu Very Good,Comedy Drama Romance,,,"Maa Alludu Very Good is an Comedy Romance based movie. In which,Purse Ram aka Parasuram (Naresh) is a petty thief who is grown up on stealing things since his childhood. He happens to see a girl Meghana (Mounika) and then instantly falls in love with her. He comes to know that she prefers educated guys with knowledge in various languages and cops. He impresses Meghana by feigning that he is a strict cop.",Allari Naresh Mounica Rajendra Prasad Ramya Krishnan Brahmanandam,E.V.V. Satyanarayana,te
1759,Vishwamitra,Horror Thriller,,,"A middle-class woman gets along with everyone as if they are her own. When she faces a big problem in her life, an unknown person comes to her rescue. Who is that unknown individual?",Nandita Raj Satyam Rajesh Vidyullekha Raman Prasanna Ashutosh Rana,Raaja Kiran,te
1760,Dialogue in the Dark,Romance,virtual audio,,India's First Film With Virtual Audio,Teja Sajja Chandini Chowdary,Prasanth Varma,te
1761,Appu Chesi Pappu Koodu,Comedy,,,The film deals with how the middle-class families are getting cheated in the hands of gullible people.,Rajendra Prasad Madhumita Krishna Tanikella Bharani Dharmavarupu Subramanyam Chalapathi Rao,Narasimha Rao Relangi,te
1762,Manchi Manasulu,Drama Family,,,"Two broken people, a Widow and a Wanderer helps a young couple while trying to live their lives.",Bhanupriya Bhanuchander Rajani Nutan Prasad Suryakantham,Mohan Gandhi,te
